,original_title,genre_list,popularity,overview
26598,Mary Stevens M.D.,['Drama'],0.306951,A woman doctor decides to have a baby without benefit of marriage.
29722,Run & Jump,['Drama'],3.40872,"After a stroke leaves her husband disabled and fundamentally changed, a spirited Irish wife struggles to keep her family members together. All the while they are under the microscope of an American researcher documenting their recovery process."
3059,The Talented Mr. Ripley,"['Thriller', 'Crime', 'Drama']",11.65502,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder."
25933,The Hire: Ambush,['Action'],0.910518,"While escorting an elderly man to an undisclosed location, The Driver is confronted by a van full of armed men and is warned that the old man has stolen a large amount of diamonds. The old man claims to have swallowed the diamonds and that the men will likely cut him open to retrieve them. The Driver decides at the last minute to help him, participating in a car chase and shootout with the van. The Driver eventually evades his pursuers and watches their destruction. He then delivers the old man to a town nearby and asks the merchant if he did indeed swallowed the diamonds. The client merely chuckles and walks away. The Driver then leaves."
9799,My Sister Eileen,"['Comedy', 'Music']",0.417876,"Ruth and her beautiful sister Eileen come to New York's Greenwich Village looking for ""fame, fortune and a 'For Rent' sign on Barrow Street"". They find an apartment, but fame and fortune are a lot more elusive. Ruth gets the attention of playboy publisher Bob Baker when she submits a story about her gorgeous sister Eileen. She tries to keep his attention by convincing him that she and the gorgeous, man-getting Eileen are one and the same person."
21173,Very Important Person,"['War', 'Comedy']",0.424395,"Comedy set in World War Two, starring James Robertson-Justice and Leslie Phillips. Sir Ernest Pease (Robertson-Justice) is a self-important scientist who is sent undercover on a bombing mission to monitor the effectiveness of his latest invention, a new-fangled radar. When the plane is attacked, he parachutes to safety - only to be sent to a POW camp, where he takes on the alias of Lieutenant Farrow. There, the somewhat happy-go-lucky bunch of Brits suspect their acerbic new fellow prisoner of being a spy, and all sorts of culture clashes and misunderstandings ensue."
12886,Henry Poole Is Here,"['Comedy', 'Drama']",5.923904,Henry Poole abandons his fiancée and family business to spend what he believes are his remaining days alone. The discovery of a 'miracle' by a nosy neighbor ruptures his solitude and restores his faith in life.
1857,Metropolitan,"['Comedy', 'Drama']",1.68399,"A sparkling comedic chronicle of a middle-class young man’s romantic misadventures among New York City’s debutante society. Stillman’s deft, literate dialogue and hilariously highbrow observations earned this debut film an Academy Award nomination for Best Original Screenplay. Alongside the wit and sophistication, though, lies a tender tale of adolescent anxiety."
11612,Street Trash,"['Comedy', 'Horror']",3.68961,"When a liquor store owner finds a case of ""Tenafly Viper"" in his cellar, he decides to sell it to the local hobos at one dollar a bottle, unaware of its true properties. The drinks causes its consumers to melt, very messily."
21323,Dievų miškas,['Drama'],0.19364,"The story about one man - an artist and an intellectual - who was imprisoned by two brutal regimes, the Nazis and the Soviets. 'The Professor' is a man who lives by his own personal version of the Ten Commandments. After miraculously surviving imprisonment in a Nazi concentration camp through a bit of ironic fate, he writes a memoir of his life, which becomes the target of the Soviet censors. The so-called ""freedom"" of Communism becomes just as oppressive as the German concentration camp."
7464,Shadow of the Thin Man,"['Comedy', 'Mystery', 'Romance', 'Thriller']",2.671234,Nick and Nora are at their wise-cracking best as they investigate murder and racketeering at a local race-track.
10174,Modigliani,['Drama'],7.275868,"Set in Paris in 1919, biopic centers on the life of late Italian artist Amedeo Modigliani, focusing on his last days as well as his rivalry with Pablo Picasso. Modigliani, a Jew, has fallen in love with Jeanne, a young and beautiful Catholic girl. The couple has an illegitimate child, and Jeanne's bigoted parents send the baby to a faraway convent to be raised by nuns. Modigliani is distraught and"
21969,Red Garters,['Western'],0.182717,"A spirited cast kicks up its heels in a lively musical spoof of cowboy films crammed with spur-jangling tunes by Jay Livingstone and Ray Evans and decked out with colorfully stylized, Oscar.-nominated sets. Rosemary Clooney heads up the high-kicking, red-gartered girls of the Red Dog Saloon. They can-can. but she won't-won't unless Jason (Jack Carson) asks her to get hitched. Guy Mitchell and Gene Barry are gun-totin' polecats who think they've got a feud to settle. And Frank Faylen and Buddy Ebsen are among the folks who hope the gunslingers get itchy fingered - so they can hold a town barbecue during the funeral!"
43223,"Dr. Syn, Alias the Scarecrow","['Adventure', 'Family']",1.452854,"This Disney drama, originally broadcast as a three-part TV episode, tells the story of a vicar's double life. Outwardly, he is the model of upstanding citizenship and loyalty to an oppressive British government. But he is also a notorious smuggler who uses his ill-gotten gains to benefit his impoverished village."
26190,Seventh Moon,['Horror'],7.961566,"Melissa and Yul, Americans honeymooning in China, come across the exotic 'Hungry Ghost' festival. When night falls, the couple end up in a remote village, and soon realize the legend is all too real. Plunged into an ancient custom they cannot comprehend, the couple must find a way to survive the night of the Seventh Moon."
34470,The Connection,['Drama'],0.196275,"Eight drug addicts are waiting for their connection in a New York apartment belonging to Leach. Jim Dunn, a budding filmmaker, has agreed to pay for the fix if the addicts will allow him to film the connection scene. After the men get their shots, they talk Dunn into trying heroin in order to understand the subject ""first hand."" He becomes ill and while sleeping, Leach takes an overdose that puts him into a coma. Dunn recovers, with the aid of the connection, and writes off the film as a failure."
24604,Code Name: Emerald,"['Action', 'Drama', 'War']",0.658885,"In april 1944, an allied agent is sent to France in order to rescue an ""overlord"" captured by the Germans. (An ""overlord"" is one of the few men who knew the date and place of the ""D"" day). To achieve this goal, he will be supported by a secret friend of the allies, a very important German officer and the French resistance. But the nazi SS is not resting..."
40467,Salam Neighbor,['Documentary'],0.096894,"Two Americans deliberately head to the edge of war, just seven miles from the Syrian border, to live among 80,000 uprooted refugees in Jordan's Za'atari refugee camp."
18305,Pitfall,"['Thriller', 'Crime', 'Drama']",10.163157,"Based on Jay Dratler's novel The Pitfall, André de Toth's gripping film is a classic L.A. noir in the tradition of Detour, and shows the spiraling, epic consequences resulting from one fateful decision."
19947,북촌방향,['Drama'],1.042432,"Sang-Joon is a professor in the film department at a provincial university. He goes to Seoul to meet his senior, Young-Ho, who works as a film critic. Sang-Joon stays in a northern village in Seoul for 3 days."
34042,Alpine Climbers,['Animation'],0.497393,"Donald, Mickey, and Pluto climb the Alps. While up top, Donald has a run-in with a mountain goat over some edelweiss, Mickey has a row with an eagle over its eggs; one of them hatches, and gives Pluto some trouble (as does the grog a Saint Bernard gives him when he falls into a snowbank)."
15476,Captains of the Clouds,"['Action', 'Drama', 'War']",2.686813,"Inspired by Churchill's Dunkirk speech, brash, undisciplined Canadian bush pilot Brian MacLean and three friends enlist in the RCAF."
9131,Wavelength,['Documentary'],1.455266,"Wavelength consists of almost no action, and what action does occur is largely elided. If the film could be said to have a conventional plot, this would presumably refer to the three “character” scenes. Snow’s intent for the film was “a summation of my nervous system, religious inklings and aesthetic ideas,” he said of the 45-minute-long zoom that incorporates in its time frame four human events, including a man’s death. In the first scene two people enter a room, chat briefly, and listen to “Strawberry Fields Forever” on the radio. Later, a man (played by filmmaker Hollis Frampton) enters inexplicably and dies on the floor. And last, the female owner of the apartment is heard and seen on the phone, speaking, with strange calm, about the dead man in her apartment whom she has never seen before."
9786,Amongst Friends,"['Crime', 'Drama', 'Action']",0.111323,"Director Robert K. Weiss gives a good accounting of himself in his first feature-length effort Amongst Friends. The film is set in an affluent Long Island neighborhood, the home of boyhood chums Patrick McGaw, Steve Parlavecchio, and Joseph Lindsey. With too much time on their hands, the kids turn to crime for ""kicks"". Events snowball into a climactic life-or-death drug deal, which threatens to end in disaster when one of the boys capriciously pulls a double cross. Barely released in 1993, Amongst Friends will probably get more play in future years thanks to the presence in the cast of Oscar-winner Mira Sorvino."
38808,Three Secrets,['Drama'],0.505205,"A five-year-old boy is the sole survivor of a devastating plane crash in the mountains of California. When the newspapers reveal the boy was adopted and that the crash occurred on his birthday, three women begin to ponder if it's the son each gave up for adoption. As the three await news of his rescue at a mountain cabin, they recall incidents from five years earlier and why they were forced to give up their son."
5864,Love Liza,"['Comedy', 'Drama']",2.362585,"Following the unexplained suicide of his wife Liza, website designer Wilson Joel turns to huffing gasoline fumes and remote control gaming while avoiding an inevitable conflict with his mother-in-law."
42720,Brian Gaar: Jokes I Wrote At Work,['Comedy'],0.022506,"In his first hourlong comedy special, Brian Gaar tackles everything from the challenges of fatherhood, trying to keep his gamer cred in his 30s, and life in a certain small Texas town.  Brian has more than 80,000 followers on Twitter, and celebrity fans include: Patton Oswalt, Will Arnett, Seth Meyers, Jim Gaffigan, Andy Richter, Rob Delaney, Margaret Cho, Minnie Driver, Amy Schumer, Zachary Levi, Billy Eichner, Samantha Bee, Ike Barinholtz, Ryan Phillippe and Juliette Lewis.  Former “Saturday Night Live” head writer and current producer/head writer of “Late Night with Seth Meyers” Alex Baze called Brian one of his favorite Twitter joke writers. Likewise, Playboy recently named him one of the funniest people on Twitter.  ""Jokes I Wrote at Work"" was filmed live at the Spider House Ballroom in Austin, Texas."
31707,The Sorcerers,['Horror'],1.342408,"The great hypnotist Professor Montserrat has developed a technique for controlling the minds, and sharing the sensations, of his subjects. He and his wife Estelle test the technique on Mike Roscoe, and enjoy 'being' the younger man. But Estelle soon grows to love the power of controlling Roscoe, and the vicarious pleasures that provides. How far will she go, and can the Professor restrain her in time?"
4939,Hey Happy,"['Comedy', 'Horror', 'Science Fiction']",0.142296,"Set in empty junkyards of Winnipeg, Sabu works in a pornography store and we view him as he approaches the end of his quest to sleep with 2000 men (which is eased by the fact that he works at a porno store). For his final conquest, he desires someone special and has chosen the eccentric character Happy to be his 2000th lover. Throughout out all of this, the town in impending doom as a flood of biblical proportions approaches."
42046,The Sklar Brothers: What Are We Talking About?,['Comedy'],0.051005,"Randy and Jason Sklar standup special recorded in Madison, Wisconsin."
43706,They Killed Sister Dorothy,['Documentary'],0.003799,"At the mouth of the Amazon River, a murder trial is taking place. The victim - Sister Dorothy Stang, a 73-year-old Catholic nun from Dayton, Ohio - was shot six times at point blank range. The events that led to her death, and the trials that follow, reveal the larger battle being fought for the future of the rainforest."
23296,Attack from Space,"['Action', 'Science Fiction']",0.237749,"The superhero Starman is sent by the Emerald Planet to protect Earth from belligerent aliens from the Sapphire Galaxy. The Sapphireans (or ""Spherions"") kidnap Dr. Yamanaka and force him to use his spaceship against the Earth."
33295,Mrs. Santa Claus,"['Family', 'Fantasy']",0.020006,"Neglected by her husband during the pre-Christmas rush, Mrs. Santa Claus takes the reindeer and sleigh out for a drive, only to end up stranded in the multi-cultural neighbourhood of Manhattan's Lower East Side of the early 1900s."
23748,The Purge: Anarchy,"['Horror', 'Thriller']",27.756026,"Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs."
45125,Nezhnyy Vozrast,"['Drama', 'Romance']",0.201279,A movie which at first seems like a simple life story of an ordinary young man slowly evolves into an extraordinarily told ballade with twofold meaning - sad and optimistic at the same time...
13113,Casanova '70,"['Drama', 'Comedy']",1.807802,"The amorous adventures of Andrea Rossi-Colombotti, an army officer who finds pleasure with beautiful women in life-threatening situations."
19387,Nagareru,['Drama'],1.118328,Otsuta is running the geisha house Tsuta in Tokyo. Her business is heavily in debt. Her daughter Katsuyo doesn't see any future in her mothers trade in the late days of Geisha. But Otsuta will not give up. This film portraits the day time life of geisha when not entertaining customers.
35867,The Stranglers of Bombay,"['Action', 'Adventure', 'History']",0.606787,India 1826. The cult of Thugee was sweeping the sub-continent. Worshippers of the goddess Kali demonstrated their devotion by the mutilation and mass murder of thousands of victims. This wave of religious fervour challenges the stability of the Raj and threatens anarchy and chaos but can the cool pragmatism of the British compete against the power of this extreme and zealous passion?
12620,Young @ Heart,['Documentary'],1.582832,"Documents the true story of the final weeks of rehearsal for the Young at Heart Chorus in Northampton, MA and many of whom must overcome health adversities to participate. Their music going against the stereotype of their age group. Although they have toured Europe and sang for royalty, this account focuses on preparing new songs for a concert in their home town."
5019,Under the Skin,['Drama'],0.364631,"Although married and pregnant Rose has always been Mother's favorite, it is younger sister Iris whose life is shaken up by Mother's death. Suffocating, Iris spirals out of control and copes by losing herself in sexual oblivion. She leaves her steady, Gary, for a steady stream of one night stands in the arms of mysterious strangers, alienating Gary, Rose, her friends, and her employers in the process. Will this go on until she loses everything that is meaningful to her?"
8765,Silver Streak,"['Comedy', 'Crime', 'Romance', 'Thriller']",8.254209,"A somewhat daffy book editor on a rail trip from Los Angeles to Chicago thinks that he sees a murdered man thrown from the train. When he can find no one who will believe him, he starts doing some investigating of his own. But all that accomplishes is to get the killer after him."
29048,Deep Space,"['Horror', 'Science Fiction']",0.785271,"Secretly engineered and blasted into space by government scientists, a vile monster crash-lands back on Earth and begins killing everyone it encounters. As the death toll rises, veteran cop McLemore (Charles Napier) bravely steps forward to crush the scary creature. Co-starring Julie Newmar as a powerful psychic, this low-rent horror flick finds the police force continually confounded by the organism's evolving physical features."
23384,Strip Search,"['Action', 'Drama']",1.900797,Strip Search follows several parallel stories examining personal freedoms vs. national security in the aftermath of 9/11; two main subplots involve an American woman detained in China and an Arab man detained in New York City.
28265,"Espion, lève-toi",['Thriller'],1.952949,A French espionage thriller playing in Zürich.
19521,Kyuketsuki Gokemidoro,"['Horror', 'Science Fiction', 'Thriller']",0.464229,The survivors of a plane crash in a remote area are attacked by blob-like alien creatures that turn their victims into blood-thirsty vampires.
9917,Queimada,"['Action', 'Drama']",7.354711,The professional mercenary Sir William Walker instigates a slave revolt on the Caribbean island of Queimada in order to help improve the British sugar trade. Years later he is sent again to deal with the same rebels that he built up because they have seized too much power that now threatens British sugar interests.
44313,Hangar 10,"['Thriller', 'Horror', 'Science Fiction']",1.948145,"33 years after the infamous Rendlesham Forest UFO incident, three metal detector enthusiasts hunting for Saxon gold in the same region, capture incredible footage of UFO's whilst filming their expedition. As night falls and with their navigation equipment failing, they find themselves facing a terrifying encounter with an unforgiving alien presence."
30569,डरना मना है,['Horror'],0.215285,"Six friends, stranded on a highway, tell each other scary stories."
33635,Keith Richards: Under the Influence,"['Documentary', 'Music']",1.327371,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer."
26041,Thunderstruck,['Comedy'],7.239241,"Brian is a 16 year-old who can't play basketball, but he still wants to play like his hero, Kevin Durant. At an Oklahoma City Thunder game, Brian gets chosen to shoot a half court shot which he misses and hits the mascot in the process. Later on, he gets a chance to meet Durant and expresses his desire to play just like him. When Kevin gives Brian the ball, the two  unknowingly switch talents."
35607,The Liquidator,"['Comedy', 'Action', 'Adventure']",1.017405,"Spy spoof about Boysie Oakes, a British secret agent who specialises in Liquidating. In actual fact he contracts out the work and pretends it is was himself. This leads to complications."
4647,The American Astronaut,"['Action', 'Comedy', 'Science Fiction', 'Music']",1.090137,"Samual Curtis's first mission in this bizarre science fiction musical comedy requires him to take a cat to a saloon on an asteroid. There, he meets his former dance partner (the Blueberry Pirate) and collects his payment: a device capable of producing a Real Live Girl. Including music by alternative rock group The Billy Nayer Show, this film began life as a live show with a loyal following."
34485,Últimas imágenes del naufragio,['Drama'],0.080751,"The director of the enigmatic, entirely memorable feature Man Facing Southeast confronts viewers with another exhuberantly metaphysical movie in Ultimas Imagenes del Naufragio. In the story, Roberto (Lorenzo Quinteras) is a man whose inner life has gone dead. He has no interest in his job (selling life insurance) or his family. About the only thing that interests him is his writing, but he currently has writer's block. When he sees a lovely young woman on the verge of throwing herself in front of a train, he can't help himself: he has to stop her. It turns out that the woman, Estela (Noemi Frenkel), is only slightly addled: she is a prostitute who uses this rather dramatic technique to pick up men. Interested in her as a character for his novel, he accompanies her home."
13818,El verdugo,"['Comedy', 'Drama']",1.351875,"An undertaker gets married to an old executioner's daughter and, although he doesn't like it, must continue the profession of his father-in-law after his retirement."
42348,Offroad,['Comedy'],0.763509,
35748,鬼神伝,"['Adventure', 'Fantasy', 'Animation', 'Science Fiction']",1.99264,"A spectacular journey of an unwilling young hero thrust into a mysterious past full of monsters, dragons, and strange hidden powers. Through a series of out of this world battles and adventures, Jun, a shy middle school boy, is transformed into a hero destined to battle evil and ensure harmony and tranquility in the world."
31939,Julio comienza en julio,['Drama'],0.006964,This is the story of a teenager at the turn of the century in the conservative higher classes of Chile and the initiation rites in his society.
13689,The Murder of Fred Hampton,['Documentary'],0.000578,"Fred Hampton was the leader of the Illinois Chapter of the Black Panther Party. This film depicts his brutal murder by the Chicago police and its subsequent investigation, but also documents his activities in organizing the Chapter, his public speeches, and the programs he founded for children during the last eighteen months of his life."
