,original_title,genre_list,popularity,overview
34658,"Doin' It in the Park: Pick-Up Basketball, NYC","['Documentary', 'History']",0.325506,"An independent documentary directed by Bobbito Garcia and Kevin Couliau. The film explores the definition, history, culture, social impact and global influence of New York's outdoor summer basketball scene, the worldwide 'Mecca' of the sport."
8143,The Forgotten,"['Crime', 'Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']",6.40146,"Telly Paretta is a grieving mother struggling to cope with the loss of her 8-year-old son. She is stunned when her psychiatrist reveals that she has created eight years of memories about a son she never had. But when she meets a man who has had a similar experience, Telly embarks on a search to prove her son's existence, and her sanity."
41238,Kiki,['Documentary'],0.560965,"25 years after Paris is Burning, we dive back into the fierce world of voguing battles in the Kiki scene of New York City, where competition between Houses demands leadership, painstaking practice, and performances on point. A film collaboration between Kiki gatekeeper, Twiggy Pucci Garçon, and Swedish filmmaker Sara Jordenö, we’re granted exclusive access into this high stakes world, where tough competitions act as a gateway into the daily lives of LGBTQ youth of color in NYC. The new generation of ballroom youth use the motto, “Not About us Without Us”. Twiggy and Sara’s insider-outsider approach to their stories breathes fresh life into the representation of a marginalized community who demand visibility and real political power."
14387,Plácido,"['Comedy', 'Drama']",1.005974,"In a small spanish town, a group of old ladies decide to celebrate Christmas Eve with a ""Sit a poor man at your table"" dinner: each wealthy household of the town will have a homeless person dining with them that night. The celebrations also include a parade, and in it we find Plácido, the humble owner of a three-wheeler, whose family is forced to live in a public lavatory because of the lack of money to pay the rent, and who has to pay the second bill of his vehicle before midnight or else he will lose it."
43138,Les êtres chers,['Drama'],0.422852,"1978. In a small village in Bas-St-Laurent, Guy’s tragic death is a shock for the Leblanc family. For many years, the real cause of his death is kept hidden from some members of the family, including his son David. The latter in turn starts his own family with his wife Marie. He lovingly raises his children Laurence and Frédéric, but deep within him harbours a persistent melancholy."
27891,Skumringslandet,"['Mystery', 'Crime', 'Fantasy']",0.698991,"The investigation of a mysterious serial-killer in a mountain village, set in Norway in the mid 1300s."
9353,The Lion King 1½,"['Animation', 'Comedy', 'Family']",8.931033,Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before Simba's adventure began. You'll find out all about Timon and Pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub.
16550,Das wilde Leben,"['Music', 'Drama', 'Comedy']",0.851733,"Achim Bornhak's movie focuses on the restless life of Uschi Obermaier, the icon of the 1968 movement in Germany and groupie. At the age of 16, Uschi is bored by her job in a photo lab, but soon becomes the ""it girl"" of Munich's club scene. When she gets to know Rainer Langhans, they move to Berlin and live in ""Kommune 1"", the first politically-motivated commune in Germany. While the other occupants claim she isn't political enough, Uschi just wants to have fun, works as fashion model and leads international music stars in temptation."
10151,The Member of the Wedding,['Drama'],0.770476,Carson  McCullers stage hit brought to the screen by Fred Zinnemann starring Ethel Waters and Julie Harris. Tomboy Julie Harris dreams of running away with her brother and new fiancee away from the Deep South.
22172,The War Between Men and Women,['Comedy'],0.796097,"2 quirky Manhattanites crash into each other cute at an ophthalmologist's office. Peter is a grouchy cartoonist/author whose vision is failing, divorced mother Theresa is also reluctant to plunge into a relationship right now. It's not love at first sight - both have their eyes dilated, plus Peter constantly lampoons women in his work, which book seller Theresa knows well. Loosely based on James Thurber's drawings ""The War Between Men &amp; Women,"" and Thurber's life, the film features animated sequences."
