,original_title,genre_list,popularity,overview
21365,Armored Car Robbery,['Crime'],2.393434,"The film tells the story of a well-planned robbery of an armored car when it stops at a sports stadium. Yet, the heist goes awry, and a tough Los Angeles cop named Cordell (Charles McGraw) is in hot pursuit."
19251,Hierro,"['Mystery', 'Thriller']",1.908312,"Traveling on a ferry heading to the island of Hierro where they will spend their holidays, Mary loses her son Diego, and no one can explain what happened. Six months later, Maria struggles to overcome the pain of loss and continue his life. Then, you receive an unexpected phone call: they found the body of a child, so it must return to the island. There, in the suggestive and disturbing landscape, surrounded by disturbing and sinister characters, Mary is forced to confront their worst nightmares. And as he travels this road, he discovers that some mysteries should not be disclosed ..."
28394,The Time Being,['Mystery'],0.976716,"An artist meets a mysterious and wealthy benefactor and their relationship is not what it appears to be.  In this suspenseful drama from first-time writer-director Nenad Cicin-Sain, a struggling young artist (Wes Bentley) accepts a series of bizarre commissions from an eccentric, dying millionaire (Frank Langella) who may be trying to either help further his career or destroy his life."
41077,My Bestfriend's Girlfriend,"['Drama', 'Comedy', 'Romance']",0.010755,"Grace is a dancer who comes out of a huge cake in a stag party attended by Evo, who's surprised when he learns later that Grace is the girlfriend of his best friend. When Evo is dumped by his own girlfriend, he hires Grace to pretend to be his new girl to make Ehra jealous, leading to some unexpected complications."
23146,Seizure,['Horror'],1.059095,Jonathan Frid portrays a horror novelist who has a recurring nightmare about three figures out of his book who terrorize him and his family and friends during a weekend of fun. Then the dream becomes reality and it never ends.
31717,Aladdin and the Death Lamp,"['Adventure', 'Fantasy', 'Horror']",0.635069,"Aladdin the adventurer and his friend Ali accidentally uncover a lamp that contains a genie. But unlike the story we know, this genie does not grant three wonderful wishes. This genie destroys everything in its way by turning the keeper’s thoughts into living nightmares. After witnessing the death of his fellow adventurers when the genie is released, Aladdin and surviving friend Ali turn to the village elder to uncover the history of the lamp, only to find the evil Shahir has been following them, hoping to take hold of the lamp and fulfill his own diabolical plans to have unlimited power. destroy their friend along with the ring."
36281,The Dhamma Brothers,['Documentary'],0.14527,"East meets West in the Deep South. An overcrowded maximum-security prison-the end of the line in Alabama's correctional system-is dramatically changed by the influence of an ancient meditation program. Behind high security towers and a double row of barbed wire and electrical fence dwells a host of convicts who will never see the light of day. But for some of these men, a spark is ignited when it becomes the first maximum-security prison in North America to hold an extended Vipassana retreat, an emotionally and physically demanding course of silent meditation lasting ten days. The Dhamma Brothers tells a dramatic tale of human potential and transformation as it closely follows and documents the stories of the prison inmates at Donaldson Correction Facility who enter into this arduous and intensive program. Written by Balcony Releasing"
32536,The Angrez,['Comedy'],0.34064,"The Angrez is a 2006 Indian comedy movie directed by Kuntaa Nikkil. In this movie, the word ""Angrez"" refers to English people and non-resident Indians.  The movie was a trendsetter in that, it was one of the first to effectively and humorously, often resorting to the slapstick kind, portray the dialect of the Old City and the Hyderabadi tongue. The film also portrays the fascination for American materialism, the hype around the IT industry and the lifestyle and culture it has spawned."
22335,Fun Size,['Comedy'],6.891823,"Wren is invited to a Halloween party by her crush, Aaron Riley, but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead, she loses him and must find him before her mother finds out."
14427,The Messenger,"['Drama', 'History']",5.499937,"Will Montgomery (Ben Foster), a U.S. Army Staff Sergeant who has returned home from Iraq, is assigned to the Army’s Casualty Notification service. Montgomery is partnered with Captain Tony Stone (Woody Harrelson), to give notice to the families of fallen soldiers. The Sergeant is drawn to Olivia Pitterson (Samantha Morton), to whom he has delivered news of her husband’s death."
