,original_title,genre_list,popularity,overview
15570,Shifty,['Thriller'],1.747367,"Shifty, a young crack cocaine dealer in London, sees his life quickly spiral out of control when his best friend returns home. Stalked by a customer desperate to score at all costs, and with his family about to turn their back on him for good, Shifty must out-run and out-smart a rival drug dealer, intent on setting him up for a big fall."
41272,Burai barase!,"['Crime', 'Action', 'Thriller']",0.010282,"Goro (Tetsuya Watari) has always been a lone wolf. When he arrives at an industrial city in Keihin, there is certain restlessness in the air. The Iriezaki family and the Kanto Touyu-kai were in the midst of a territorial dispute. Goro was quick to notice, but had no intent to take sides. At a department store nearby, he sees an elevator lady being harassed by a couple of hoodlums. Goro decides to intervene. Unbeknownst to him, the hoodlums are Touyu-kai members – and the girl has strong ties with the opposing family."
43532,Kolonya Cumhuriyeti,['Comedy'],0.173603,
42827,Internet - O Filme,['Comedy'],2.75527,"In a convention of youtubers, the characters enter into various conflicts since they are all in search of fame at any price."
28750,Il gatto dagli occhi di giada,"['Horror', 'Mystery', 'Thriller']",0.207819,"A pharmacist is murdered, and a woman happens to see the culprit leave the scene. She soon finds herself being stalked by the killer."
9354,Stupeur et tremblements,"['Drama', 'Comedy']",1.693772,"Amélie, a young Belgian woman, having spent her childhood in Japan, decides to return to live there and tries to integrate in the Japanese society. She is determined to be a ""real Japanese"" before her year contract runs out, though it precisely this determination that is incompatable with Japanese humility. Though she is hired for a choice position as a translator at an import/export firm, her inability to understand Japanese cultural norms results in increasingly humiliating demotions. Though Amelie secretly adulates her, her immediate supervisor takes sadistic pleasure in belittling her all along. She finally manages to break Amelie's will by making her the bathroom attendant, and is delighted when Amelie tells her the she will not renew her contract. Amelie realizes that she is finally a real Japanese when she enters the company president's office ""with fear and trembling,"" which could only be possible because her determination was broken by Miss Fubuki's systematic torture."
18196,The Lonely Passion of Judith Hearne,"['Drama', 'Romance']",0.872709,"A penniless middle-aged spinster scrapes by giving piano lessons in the Dublin of the 1950s. She makes a sad last bid for love with a fellow resident of her rundown boarding house, who imagines she has the money to bankroll the business he hopes to open."
1111,JLG/JLG - autoportrait de décembre,['Documentary'],0.441965,"Director Jean-Luc Godard reflects in this movie about his place in film history, the interaction of film industry and film as art, as well as the act of creating art."
44949,Tre uomini e una gamba,['Comedy'],5.149498,"Three friends leave Milan by car heading south. Two of them are married to two sisters, the third one is going to marry the third sister. The marriage is going to take place in the villa of their vulgar but very rich father in law. They are also bringing him a work of modern art: a wooden leg worth millions even if it doesn't look like it."
12594,"The Bread, My Sweet","['Drama', 'Romance']",0.958152,"Dominic works round the clock: nights making biscotti for his family's bakery in a working-class Italian neighborhood in Pittsburgh, then days downtown where he's a specialist in firing people at a company that negotiates mergers. He's thrown for a loop with he learns that Bella, an elderly neighbor who's his family's closest friend, has but a few months to live. All her life, she's saved money in coffee cans for her daughter, Lucca's, wedding, but Lucca is off in foreign lands, initially as a Peace Corps volunteer, and doesn't need a man. Dominic vows to bring Lucca home and convince her to marry him to fulfill Bella's most fervent wish. What will Lucca say?"
