,original_title,genre_list,popularity,overview
2074,The Man Who Knew Too Much,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",12.547763,"A widescreen, Technicolor remake by Hitchcock of his 1934 film of the same title. A couple (James Stewart, Doris Day) vacationing in Morocco with their young son accidentally stumble upon an assassination plot. When the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him."
37322,Plastični Isus,['Drama'],0.03803,"Tom is a young guy from Zagreb, completely without money, trying to make films in Belgrade. He somehow manages to survive with a help of women. He doesn't believe in anybody, respects no one and is in constant conflict with the ruling system and order. After being left by a silly American girl, Tom binds with a woman whose husband is abroad. When she kicks him out, he moves in with her husband's sister, who later kills him in the attack of jealousy. All this is shown in the context of major historical events prior to 1968. with lots of archive footag of world leaders."
35118,พี่ชาย My Hero,['Drama'],0.275362,"The poor outlying districts of Bangkok are a world where you grow up very quickly. After both their parents die, 11-year-old Oat, his little sister and his older brother Ek move in with their aunt. Ek works in a bar for male prostitutes and transvestites. His relationship with Jai, the son of rich parents, began when he was still at school. Their uneven love for one another is put to the test when the day of the annual conscription arrives; this is when a lottery decides who must do military service and who can stay at home. Young Oat steals money from the local mafia boss in order to buy their beloved brother and family breadwinner out of the army. His actions have dramatic and traumatic consequences.  Told from the younger brother's point of view, the film takes a refreshingly unadorned and impartial look at an essentially loving environment where social conditions are governed by venality, corruption and false ideals."
44455,Jungfrauen-Report,"['Comedy', 'Drama', 'Horror']",0.342716,"Part documentary, part mockumentary, part sexploitation, all Franco. Starting in the Garden of Eden we are taken on a voyage around the world that covers various rites of passage and cultures deflowering of the virgin."
23664,カラフル,"['Animation', 'Drama']",8.732753,"Upon reaching the train station to death, a dejected soul is informed that he is lucky and will have another chance at life. He is placed in the body of a 14-year-old boy named Kobayashi Makoto, who has just committed suicide. Watched over by a neutral spirit named Purapura, the soul must figure out what his greatest sin and mistake in his former life was, before his time limit in Makoto's body runs out. He also has a number of other lesser duties he must complete, such as understanding what led Makoto to commit suicide in the first place and learning how to enjoy his second chance at life."
23765,Super Hero Party Clown,['Comedy'],0.013359,"Eugene Stimpson is a superhero... At least he plays one at birthday parties. When his high school nemesis Todd gets a job playing a rival superhero, Eugene must struggle to keep his identity secret while competing with Todd for the affections of the same girl. Can he keep his identity concealed long enough to make his move and defeat Todd, or will the mounting lies be too much for him to handle?"
42153,The Crash,"['Crime', 'Thriller']",4.05452,"In the not so distant future, a team of white collar criminals are enlisted by the Federal government to thwart a cyber-attack that threatens to bankrupt the United States of America."
3989,Hiding Out,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Thriller']",2.026942,A very successful stock broker is called to court to testify against a mob boss who was into some inside trading. Andrew Morenski must become Max Hauser and go back to high school for protection from the mob.
120,Boomerang,"['Comedy', 'Romance']",6.506983,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill."
13711,Rhinoceros,['Comedy'],0.083894,"Originally an absurdist play by Eugene Ionesco, Rhinoceros tells the story of a French town plagued by rhinoceroses. These are not ordinary rhinoceroses, but people who have been victims of ""rhinoceritis."" Or is it something else entirely? But, why are they turning into rhinoceroses and what is Ionesco trying to tell us about society?"
