,original_title,genre_list,popularity,overview
39807,ライアーゲーム　ザ・ファイナルステージ,"['Thriller', 'Drama']",0.611003,"The Psychological thriller directed by Hiroaki Matsuyama dethroned US movie Percy Jackson and the Olympians at number 2 following its release this week at Japan Box Office. Starring Shota Matsuda and Erika Toda (Death Note). Based on a manga created by Kaitani Shinobu, this movie is set where the 2nd season of the drama series left off. In the first series, a college student Nao Kanzaki is lured into a mysterious game by tricking other players to win. However Nao got tricked by her former sensei, desperate for help, she enlisted the aid of person named Shinichi Akiyama. In the second series, the duo is faced against new opponents with the help of a rival player named Fukunaga . In Liar game: Final Stage, Players are encouraged to trust each other to win the tournament. However, a mysterious player named X is secretly plotting to sabotage everyone of their chances to win the LGT."
36977,Dhol,['Comedy'],0.877038,"Sameer Arya, Martand Damdere, Pankaj Tiwari, and Gautam Sesodia are friends who live in a small town in India. Broke, accident-prone, and unable to pay rent to their landlady, they are basically slackers with Sameer and Gautam having no family, while Pankaj has been kicked out by his brother-in-law, and Martand has illicitly borrowed money from his maternal uncle, is unable to re-pay it and hence rendered homeless. The four find out that they can better their lifestyle by obtaining a bank loan - albeit in vain as they are unable to secure one. Then they decide to woo a rich girl, let one of them marry her, and live their life in comfort..."
25142,Easy to Love,"['Comedy', 'Music', 'Romance']",0.328907,Two men vie for the heart of a Cypress Gardens swimming star.
43551,Одноклассницы,"['Romance', 'Comedy']",0.37441,"Sochi, Russia. The day before wedding Katya finds her fiancé on a date with a hot blonde, so her classmates Vika, Sveta, and Dasha decide to find Katya a new husband. They have one night only. Will they succeed?"
25456,Khumba,"['Animation', 'Adventure', 'Family']",5.219667,A half-striped zebra is blamed for the drought and leaves his herd in search of his missing stripes. He is joined on his quest by an overprotective wildebeest and a flamboyant ostrich; they defeat the tyrannical leopard and save his herd.
11602,"Co mi zrobisz, jak mnie złapiesz",['Comedy'],0.004974,
36352,Standing Army,['Documentary'],0.170093,"Standing Army, directed by Enrico Parenti and Thomas Fazi, is an award-winning documentary film about the global network of U.S. military bases, the impact that these have on local populations, and the military-industrial complex that lies behind it."
42800,Zombie Christ,['Horror'],0.137117,Druids resurrect the partially mummified remains of Jesus. They force the zombified Christ to commit unspeakable acts as their sect prepares to rule a new age of mankind.
12333,"Rachel, Rachel","['Drama', 'Romance']",1.464778,"Rachel is a 35 year old school teacher who has no man in her life and lives with her mother. When a man from the big city returns and asks her out, she begins to have to make decisions about her life and where she wants it to go."
6189,A Decade Under the Influence,"['Comedy', 'Documentary', 'Romance']",0.381538,Documentary on the effects of 1970s filmmaking.
42656,Game Over,['Drama'],0.460863,Short depicting the endings of various classic video games in a whimsical fashion.
31351,Woman in the Dark,"['Crime', 'Drama']",0.193829,Lightweight but entertaining crime/drama about a man (Ralph Bellamy) released from prison and deciding to stay alone in his cabin so that his bad temper won't get him back into prison.
10256,Berserk,"['Horror', 'Mystery', 'Thriller']",1.321551,"Monica Rivers, is the owner and ringmaster of a traveling circus and who'll stop at nothing to draw bigger audiences. When a series of mysterious murders begins to occur and some of her performers die gruesomely, her profits soar. She hires high-wire walker Frank Hawkins, impressed by the handsome and muscular young man. They begin an affair which arouses her previous lover Durando's jealousy. When Durando is found dead shortly afterward, the other performers begin to take alarm, as a mysterious killer is obviously loose in their midst. Many suspect Monica herself of the killings, especially Matilda, who has set her sights on Monica's new lover. At this point, Monica's unruly, sixteen-year-old daughter Angela, is expelled from school for being incorrigible and Monica is forced to take her into the circus, allowing her to become the partner of knife-thrower Gustavo. Meanwhile, the dead bodies continue to pile up..."
39171,ユンカース・カム・ヒア,"['Animation', 'Family']",0.307422,"Hiromi appears on the outside to be a mature, resilient girl, but on the inside she feels like she's falling apart. She hardly sees her parents at all, as they are always busy with work. Then she learns that her parents are considering a divorce and she may have to make the heartrending choice of deciding which parent to live with. On top of that, Hiromi's tutor, Keisuke (on whom Hiromi has a crush), is getting married, and Hiromi fears that she soon will be completely alone. She finds herself comforted by Junkers, an unusual dog with the ability to speak and grant her three wishes."
7522,My New Gun,['Comedy'],0.178585,"Debbie and Gerald's lives drastically change after they get a gun. Their mysterious neighbor, Skippy, becomes an important and transforming figure in their lives."
13008,Zack and Miri Make a Porno,['Comedy'],6.449332,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought."
9257,Kabhi Khushi Kabhie Gham,"['Comedy', 'Drama']",6.523888,"Orthodox Indian, Raichand, would like his two sons to live together with him and his wife, and get married to girls' of his choice. One of his sons, Rahul, is adopted, while Rohan is his real son. Rahul falls in love with a poor Indian girl named Anjali, and incurs the displeasure of Raichand, they argue and fight, as a result Rahul leaves the house, moves to Britain, and settles down. Raichand now focuses his attention on his real son, Rohan, who has no plans to get married, but is determined to bring Rahul and Anjali back home so that they can be together again. Will Raichand permit Rohan to have his way, or will he also ask him to leave the house?"
21742,Quand je serai petit,['Drama'],1.392492,"Mathias, aboard a ship with his wife, sees a boy with a striking resemblance to himself and is called - Mathias. He then tracks him to a town north of France to discover that the boys parents are exactly like his parents, only to know that his life is payed over again just 30 years post. He then chooses to be the guest in his own life, while he has a life to live at hand."
13664,Sagebrush Trail,"['Drama', 'Romance', 'Western']",1.064154,"Imprisoned for a murder he did not commit, John Brant escapes and ends up out west where, after giving the local lawmen the slip, he joins up with an outlaw gang. Brant finds out that 'Jones', one of the outlaws he has become friends with, committed the murder that Brant was sent up for, but has no knowledge that anyone was ever put in jail for his crime. Willing to forgive and forget, Brant doesn't realize that 'Jones' has not only fallen for the same pretty shopgirl Brant has, but begins to suspect that Brant is not truly an outlaw."
7593,The Last Broadcast,"['Horror', 'Mystery']",1.399495,"Bristling with equipment, two enthusiastic local access cable TV producers recruit an assistant and venture into a forest in search of the mythical and horrifying Jersey Devil. Days later, only one of the trio emerges. He becomes the prime suspect in the disappearances of the other two. However, a local filmmaker examines extensive footage found at the scene and arrives at a different conclusion."
34376,11 Minut,"['Drama', 'Thriller']",1.519861,The lives of urbanites intertwine in a world where anything can happen at any time.
43323,Parfait amour!,"['Drama', 'Romance']",1.224596,A teenage girl helps investigators reconstruct her mother's (Isabelle Renauld) murder.
