,original_title,genre_list,popularity,overview
28704,The Case of the Stuttering Bishop,"['Mystery', 'Crime', 'Drama']",0.738739,"A Bishop from Australia comes to Perry to ask him to take a case of a woman wrongly accused of manslaughter 22 years before. The case would involve the wealthy Mr. Brownley and the fact that his alleged granddaughter may be an imposter. With that, the Bishop leaves and is clubbed in his hotel room. Soon after, he leaves on a boat and Perry meets the woman - Ida Gilbert. Perry goes to see Mr. Brownley, but gets nowhere. Later that night, Brownley is to meet Ida, but he is shot by a woman who drops Ida's gun. Ida is arrested for the murder of Mr. Brownley and Perry gets involved. Written by Tony Fontana"
36706,7 Ans,['Drama'],0.045413,"A devoted young woman becomes ensnared in a web of sexuality and betrayal in Jean-Pascal Hattu’s consistently unpredictable and finely wrought character study. A vividly realistic psychosexual drama, the film’s sharp emotional honesty heralds a distinct new voice from a promising young director. Hattu soon reveals that Maite’s husband Vincent is in prison for an unspecified crime, and that she has promised to wait for him and attend to his laundry (if not his conjugal needs) during his incarceration. On one of her weekly visits, Maite meets Jean, an oddly inquisitive and boldly flirtatious prison warden, and soon the two commence a joyless affair. Seemingly smitten with Maite, Jean, in a gesture of kindness to his lover, eases up on her husband behind bars; the two become pals and even engage in some homoerotic shower talk. —Robert O’Shaughnessy"
44009,Despicable Me 3,"['Action', 'Animation', 'Adventure', 'Family', 'Comedy']",36.631519,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.
15298,Friendship!,['Comedy'],2.631214,"A young man from East Germany travels to San Francisco to search for his father, who fled 12 years ago. Together with his best friend, he starts the journey from New York with no money and the only word they ever learned in english-lessons: ""friendship""."
31225,Los Enchiladas!,['Comedy'],0.191026,"About a half dozen slacker dudes dwell at their jobs at Los Enchiladas, the local Mexican sit-down joint. The 2 folks in ""management"" are both into their own authority and fill their days creating wild &amp; stupid rules for the working folk. By mid-film, however, the manager has fled the cops after beating the crap out of a competing restaurant's dancing gyro... and the ""Chef"" has jumped ship to join a beatnik poet's groups which specializes in exotic menu-writing. This leaves the minimum-wage crowd to run the place as they see fit.... and they see a lot of debauchery, booze, and free steak in their future."
45279,Wojna polsko-ruska,['Drama'],0.909863,"An aggressive thug has problems with his girlfriend. Over the course of several chaotic days he walks around the hood, takes drugs and confronts himself with other women."
306,Rent-a-Kid,"['Comedy', 'Family']",1.155255,"Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers..."
22284,座頭市海を渡る,['Drama'],1.291947,Our hero Zatoichi sails to one of the distant islands to begin a pilgrimage to a total of 88 Shinto shrines.
3712,The Crush,"['Drama', 'Thriller']",8.976337,A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences.
17225,The Patent Leather Kid,"['War', 'Drama', 'Romance']",0.001402,"The Patent Leather Kid is a 1927 silent film which tells the story of a boxer who scoffs at fighting outside the ring... particularly for the United States once it enters World War I. Eventually, he is drafted, is shipped overseas, and performs a heroic act, which results in his being severely wounded."
33338,Sagolandet,['Documentary'],0.50104,Documentary by Swedish director Jan Troell.
