,original_title,genre_list,popularity,overview
37258,Ocho apellidos catalanes,"['Comedy', 'Romance']",4.941645,"Amaia after breaking up with Rafa, falls in love with a Catalonian. Koldo, her father, goes to Sevilla to persuade Rafa to go to Catalonia and take Amaia's heart back."
7092,Tormented,['Horror'],0.93057,A jazz pianist (Richard Carlson) is haunted by his dead ex-lover's (Juli Reding) crawling hand and floating head.
39241,Parole Girl,"['Crime', 'Drama']",0.076547,A wrongly convicted woman tries to make amends after getting out of prison.
15410,Hannah Free,"['Drama', 'Romance']",0.370737,A film about a lifelong love affair between an independent spirit and the woman she calls home.
10054,The Adventurer,['Comedy'],2.36944,The Little Tramp escapes from prison; saves a girl and her mother from drowning; and creates havoc at a swank party.
18314,Erbsen auf halb 6,['Drama'],0.842078,"It all starts with a bang. The car breaks through the crash barrier and falls off the bridge. The lights go out. After that, he is not able to see anymore. His optic nerve is severed, from now on the young stage-director Jakob is blind. His life will change and nothing will ever be the same. Jakob cannot handle the idea of never being able to see again and screams at the only woman who is able and willing to help him, Lily. A rehabilitation teacher, she helps the blind deal with the darkness. Lily has been living with it since birth, she too is blind."
18438,Kan door huid heen,['Drama'],0.058229,"A brutal assault changes Marieke's life. She leaves her familiar city rhythms for the solitude of a isolated house in the countryside. Her irrational fears on the frozen farm are a constant struggle. As spring's orchestra begins, her curiosity for new things that cover the cold rot of winter pull her out of the suffocating interior of her mind. Slowly she accepts the help of John, her neighbour."
29040,一個人的武林,"['Crime', 'Action', 'Thriller']",6.636514,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom."
33107,Thunderbolt,['Drama'],0.479627,"A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Morgan, an innocent man who has been framed and who is in love with Thunderbolt's girl, without knowing of their relationship. Thunderbolt hopes to stave off the execution long enough to kill young Morgan for romancing his girl."
2782,The Dark Half,"['Mystery', 'Horror']",13.412785,"Thad Beaumont is the author of a highly successful series of violent pulp thrillers written under the pseudonym of ‘George Stark’, but when he decides to ‘kill-off’ his alter-ego in a mock ceremony, it precipitates a string of sadistic murders matching those in his pulp novels, which are soon discovered to be the work of Stark himself. Looking like a maniacal version of his counterpart, Stark is not so willing to quit the writing game – even if it means coming after Thad's wife and their baby."
28196,Sommarstället,['Drama'],0.096496,"When old feelings return, a reunion of friends at a Swedish summerhouse is thrown into chaos, hurt and conflict."
31672,Jacob,['Horror'],0.834734,"Lonely and disturbed Jacob Kell loved his little sister more than anything on earth. When tragedy strikes, Jacob retaliates the only way he knows how - and anyone who crosses his path will know there is no limit to his brutal vengeance."
35843,Arme Riddere,"['Action', 'Comedy', 'Crime']",1.50476,"Terrified and bloody, Oscar Svendsen awakes clinched to a shotgun in a strippers joint. Around him 8 dead men, and police aiming at him. To Oscar it's clear that he is innocent. It all started when four chaps won 1,7 million on the pools."
41650,Mercy,['Thriller'],5.720163,"Brought together at their childhood home over their dying mother, an estranged family is thrust into a deadly fight for their own survival."
